# IKS4A1 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
282911506,-41,102,934,-16415,-8636,19696
282912039,-44,141,934,-16415,-8636,19696
282920059,-44,141,934,-19171,-9922,15750
282920593,-31,158,944,-19171,-9922,15750
282928613,-31,158,944,-20142,-10473,11786
282929146,-36,174,968,-20142,-10473,11786
282937167,-36,174,968,-18996,-9581,8006
282937700,-38,166,971,-18996,-9581,8006
282945720,-24,154,970,-13597,-7997,4996
282954265,-22,147,993,-7166,-5468,2126
282962810,-26,138,996,-3342,-1312,201
282971354,-27,132,964,560,1391,-612
282979898,-25,128,963,8146,2047,-498
282988442,-31,141,1016,15741,4112,-367
282996986,-56,146,1041,18593,7402,-603
283002412,-56,146,1041,18593,7402,-603
283005331,-56,146,1041,19180,9345,-1452
283005864,-63,122,1054,19180,9345,-1452
283013885,-63,122,1054,21227,11681,-1050
283014418,-54,100,1064,21227,11681,-1050
283022440,-54,100,1064,24412,14901,-752
283022973,-65,83,1068,24412,14901,-752
283030994,-65,83,1068,23257,17745,-122
283031527,-66,52,1057,23257,17745,-122
283039548,-60,35,1022,18427,18418,796
283048092,-48,26,970,12066,16397,2738
283056637,-41,21,945,6982,12530,4961
283065181,-59,40,947,2257,7708,6667
283073725,-58,31,969,-2878,3185,7245
283082062,-58,31,969,-5311,463,8881
283082595,-43,53,1010,-5311,463,8881
283090614,-43,53,1010,-7253,227,8268
283091147,-73,61,1039,-7253,227,8268
283099165,-73,61,1039,-8190,1102,7551
283099698,-70,38,1062,-8190,1102,7551
283103559,-70,38,1062,-8190,1102,7551
283107725,-70,38,1062,-5127,4532,8365
283108259,-56,45,1051,-5127,4532,8365
283116280,-64,50,1041,-245,7262,8575
283124825,-61,51,1059,918,9502,7691
283133369,-48,14,1050,-3377,11576,7131
283141913,-14,-2,1007,-7122,12075,9318
283150457,-19,5,976,-4392,11278,11462
283159002,-26,15,964,-945,10753,13746
283167545,-32,23,952,1137,8505,15155
283175881,-32,23,952,2196,5600,15916
283176414,-44,-2,960,2196,5600,15916
283184436,-44,-2,960,3920,4523,17167
283184969,-43,-42,988,3920,4523,17167
283192988,-43,-42,988,5792,5512,18471
283193521,-51,-47,1012,5792,5512,18471
283201542,-51,-47,1012,4007,7463,18865
283202075,-61,-63,1003,4007,7463,18865
283204482,-61,-63,1003,4007,7463,18865
283210103,-60,-82,970,2502,7700,20405
283218647,-63,-74,980,3920,7560,22137
283227191,-58,-71,990,4033,9520,23152
283235736,-37,-51,947,2887,11147,25445
283244280,-26,-17,902,1137,9537,27002
283252825,-27,-18,893,411,5337,27387
283261161,-27,-18,893,-210,2336,28367
283261694,-16,-14,927,-210,2336,28367
283269713,-16,-14,927,-1277,455,29881
283270246,-31,-3,934,-1277,455,29881
283278266,-31,-3,934,-1400,-1767,31220
283278799,-49,13,948,-1400,-1767,31220
283286820,-49,13,948,-1382,-3508,31176
283287353,-69,37,978,-1382,-3508,31176
283295373,-66,76,1023,-1111,-3745,31465
283303918,-79,136,1028,271,-2458,31465
283305394,-79,136,1028,271,-2458,31465
283312471,-97,150,1051,4646,-875,29111
283321015,-97,106,1087,11672,2633,26486
283329559,-71,72,1153,20247,9695,25296
283338104,-45,77,1139,26460,20650,25296
283346440,-45,77,1139,31447,28560,25917
283346974,-33,77,1050,31447,28560,25917
283354995,-33,77,1050,35883,30966,26066
283355528,-37,94,993,35883,30966,26066
283363549,-37,94,993,37913,31622,25506
283364082,-40,93,960,37913,31622,25506
283372101,-40,93,960,37975,30388,25996
283372634,-48,80,945,37975,30388,25996
283380656,-48,80,945,30922,27553,26040
283381189,-68,81,960,30922,27553,26040
283389209,-87,66,940,18830,22715,26276
283397753,-92,94,941,11165,17342,27798
283406297,-108,173,944,5153,13982,28043
283414842,-123,229,914,-516,10893,26110
283423387,-131,249,878,-3403,6632,23170
283431931,-127,240,873,-1925,2310,20107
283440476,-115,215,891,892,192,17176
283449020,-104,178,873,2686,-1758,15373
283457356,-104,178,873,5398,-5171,15015
283457889,-100,144,873,5398,-5171,15015
283465910,-100,144,873,6921,-8671,14848
283466443,-101,138,919,6921,-8671,14848
283474463,-101,138,919,4620,-10386,14026
283474996,-96,134,957,4620,-10386,14026
