# IKS4A1 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
314092771,-12,12,1000,-218,411,1085
314101315,-12,9,1004,-236,402,1268
314109860,-11,11,1003,-271,437,1391
314118198,-11,11,1003,-236,490,3263
314118731,-27,-34,1003,-236,490,3263
314126750,-27,-34,1003,-358,297,7490
314127283,-5,30,1003,-358,297,7490
314135304,-5,30,1003,-183,402,2598
314135837,-7,30,999,-183,402,2598
314143858,-7,30,999,-253,315,1513
314144391,-13,18,1003,-253,315,1513
314152412,-11,13,1004,-245,306,1295
314160956,-11,13,1001,-236,367,1242
314169501,-12,12,1002,-236,402,988
314178046,-13,12,1003,-245,428,945
314186590,-12,11,1002,-210,420,971
314195134,-13,12,1004,-245,428,971
314203679,-13,10,1002,-210,385,892
314211391,-13,10,1002,-210,385,892
314212023,-13,10,1002,-175,358,1137
314212556,-13,8,1000,-175,358,1137
314220577,-13,8,1000,-183,332,1260
314221110,-12,12,1003,-183,332,1260
314229132,-12,12,1003,-192,437,1190
314229665,-12,12,1002,-192,437,1190
314237686,-12,12,1002,-201,411,1373
314238219,-13,7,1001,-201,411,1373
314246240,-13,7,1001,-175,402,1688
314246773,-12,9,1001,-175,402,1688
314254792,-12,9,1002,-227,358,1960
314263335,-16,0,1003,-253,367,2388
314271880,-22,-15,1001,-271,481,4698
314280425,0,46,1003,-455,183,5950
314288968,-7,30,1004,-157,507,1303
314297513,-12,11,1000,-227,297,656
314306058,-11,11,1001,-183,367,516
314312523,-11,11,1001,-183,367,516
314314402,-11,11,1001,-192,385,490
314314935,-13,13,1004,-192,385,490
314322955,-13,13,1004,-201,446,533
314323489,-12,12,1002,-201,446,533
314331510,-12,12,1002,-271,358,542
314332043,-13,11,1003,-271,358,542
314340064,-13,11,1003,-271,376,472
314340597,-11,11,1002,-271,376,472
314348619,-11,11,1002,-218,350,551
314349152,-12,12,1001,-218,350,551
314357173,-12,12,1002,-236,420,560
314365717,-12,11,1003,-262,411,498
314374262,-12,11,1003,-201,385,481
314382807,-11,12,1003,-262,341,490
314391351,-13,11,1001,-175,350,463
314399895,-12,12,999,-227,358,446
314408232,-12,12,999,-262,350,498
314408765,-12,11,1002,-262,350,498
314413459,-12,11,1002,-262,350,498
314416793,-12,11,1002,-227,367,533
314417326,-12,10,1002,-227,367,533
314425345,-12,10,1002,-192,393,490
314425878,-11,10,1005,-192,393,490
314433898,-11,10,1005,-227,402,455
314434431,-11,12,1003,-227,402,455
314442452,-12,11,1002,-227,428,455
314450996,-12,12,1001,-253,411,455
314459540,-11,12,1000,-148,393,455
314468084,-12,12,1003,-192,481,428
314476629,-12,12,1003,-236,385,420
314485173,-12,11,1001,-201,402,437
314493717,-12,12,1003,-236,323,437
314502262,-12,11,1002,-236,437,481
314510599,-12,11,1002,-210,385,472
314511132,-12,12,1002,-210,385,472
314514371,-12,12,1002,-210,385,472
314519161,-12,12,1002,-253,402,507
314519694,-12,12,1003,-253,402,507
314527715,-12,12,1003,-280,376,507
314528248,-13,10,1001,-280,376,507
314536268,-13,10,1001,-192,367,560
314536801,-12,10,1000,-192,367,560
314544821,-13,12,1003,-210,341,612
314553366,-12,11,1003,-210,411,647
314561910,-12,11,1003,-227,420,656
314570454,-12,10,1003,-166,411,638
314578998,-12,11,1000,-227,341,673
314587541,-12,11,1002,-218,350,700
314596086,-12,11,1002,-210,463,805
314604631,-13,10,1003,-201,411,927
314612968,-13,10,1003,-183,463,1032
314613501,-12,10,1002,-183,463,1032
314615493,-12,10,1002,-183,463,1032
314621530,-12,10,1002,-218,455,997
314622063,-11,11,1001,-218,455,997
314630084,-11,11,1001,-201,428,988
314630617,-12,12,1002,-201,428,988
314638639,-12,12,1002,-175,402,1041
314639172,-13,9,1001,-175,402,1041
314647191,-14,7,1004,-140,437,1295
314655735,-12,7,1003,-140,367,1697
314664280,-18,-13,1002,-245,481,2896
314672824,-27,-33,998,-262,551,7087
314681368,-19,0,999,-315,437,10403
314689913,0,54,1002,-393,271,8881
314698457,-1,41,1006,-358,271,5582
314707000,-4,29,1001,-210,455,2388
314715336,-4,29,1001,-245,341,1102
314715869,-13,10,1001,-245,341,1102
314716402,-13,10,1001,-245,341,1102
314723933,-13,10,1001,-236,428,1181
314724466,-14,7,1001,-236,428,1181
314732485,-14,7,1001,-218,393,2257
314733018,-15,3,1003,-218,393,2257
314741038,-12,6,1001,-227,490,2835
314749581,-20,-9,1004,-157,577,4173
314758125,-16,0,996,-96,560,6282
314766670,-5,35,1006,-236,245,5460
314775215,-10,19,998,-271,236,3543
314783760,-10,20,1004,-297,245,2633
314792304,-9,19,1003,-341,227,1986
314800849,-9,15,1002,-280,393,1216
314809394,-10,15,1001,-288,341,910
314817522,-10,15,1001,-288,341,910
314817738,-10,15,1001,-280,420,665
314818271,-11,12,1002,-280,420,665
314826292,-11,12,1002,-253,402,560
314826825,-12,13,1001,-253,402,560
314834847,-12,13,1001,-218,411,516
314835380,-11,12,1003,-218,411,516
314843399,-11,12,1003,-227,411,490
314843932,-11,11,1003,-227,411,490
314851950,-11,11,1003,-201,455,463
314852483,-11,11,1001,-201,455,463
314860503,-12,12,1001,-218,420,428
314869047,-13,12,1002,-201,428,411
314877591,-12,12,1003,-218,402,358
