# IKS4A1 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
250910359,-140,-62,1011,-14656,28507,7892
250910892,-140,-65,976,-14656,28507,7892
250918911,-140,-65,976,-15163,29085,7901
250919444,-139,-93,930,-15163,29085,7901
250927465,-139,-93,930,-14822,27921,9021
250927998,-148,-91,924,-14822,27921,9021
250936018,-148,-91,924,-16152,27833,9073
250936551,-154,-67,946,-16152,27833,9073
250944571,-154,-67,946,-18742,28638,8146
250945104,-152,-69,931,-18742,28638,8146
250953125,-152,-69,931,-19608,28586,7743
250953658,-150,-77,897,-19608,28586,7743
250961677,-157,-62,866,-19460,28017,7070
250970222,-168,-48,830,-19320,27107,6116
250978767,-176,-50,789,-19197,25121,5048
250985440,-176,-50,789,-19197,25121,5048
250987319,-177,-79,748,-17613,22321,4611
250995863,-182,-85,728,-14673,19110,5398
251004408,-199,-52,739,-13685,15872,5372
251012952,-216,-27,756,-15732,13405,3570
251021497,-218,-45,757,-17543,11760,1417
251029834,-218,-45,757,-15933,10666,866
251030367,-210,-73,744,-15933,10666,866
251038386,-210,-73,744,-11961,9940,1470
251038919,-213,-67,748,-11961,9940,1470
251046938,-213,-67,748,-9056,10053,988
251047471,-224,-39,752,-9056,10053,988
251055491,-224,-39,752,-8190,10088,-481
251056024,-233,-21,741,-8190,10088,-481
251064046,-233,-21,741,-6877,9826,-2310
251064579,-239,-20,721,-6877,9826,-2310
251072600,-239,-20,721,-3526,9773,-4086
251073133,-238,-19,693,-3526,9773,-4086
251081153,-236,-17,648,96,9852,-6212
251086372,-236,-17,648,96,9852,-6212
251089706,-237,-13,595,2030,7962,-8496
251098251,-239,-13,562,1925,3290,-11103
251106795,-235,-38,560,2047,-2187,-13317
251115340,-221,-71,566,4208,-6291,-14288
251123884,-208,-91,569,7411,-9835,-14385
251132429,-206,-95,591,8916,-13903,-14463
251140974,-200,-101,644,8557,-17928,-14822
251149518,-184,-115,711,7157,-20422,-15347
251158062,-168,-137,763,6877,-20378,-15618
251166399,-168,-137,763,8610,-19337,-14892
251166932,-150,-162,788,8610,-19337,-14892
251174953,-150,-162,788,11646,-18287,-13571
251175486,-143,-164,806,11646,-18287,-13571
251183507,-143,-164,806,13816,-17053,-12950
251184039,-141,-146,813,13816,-17053,-12950
251187486,-141,-146,813,13816,-17053,-12950
251192068,-141,-146,813,13825,-16493,-13536
251192601,-139,-133,808,13825,-16493,-13536
251200622,-139,-133,808,13186,-17255,-14700
251201155,-139,-127,810,13186,-17255,-14700
251209176,-132,-114,835,12346,-18357,-16747
251217720,-132,-97,870,11025,-19110,-19652
251226265,-142,-61,921,8846,-19635,-23415
251234810,-154,-27,991,5346,-18777,-28507
251243354,-145,-49,1030,3036,-15242,-33836
251251898,-106,-138,1012,6378,-9511,-36505
251260442,-70,-222,952,15303,-3981,-34378
251268987,-51,-272,881,24718,-708,-29085
251277530,-39,-314,824,31360,-1067,-21831
251285867,-39,-314,824,31158,-3955,-14271
251286400,-54,-282,821,31158,-3955,-14271
251288390,-54,-282,821,31158,-3955,-14271
251294427,-54,-282,821,22811,-8242,-9178
251294960,-86,-237,832,22811,-8242,-9178
251302980,-86,-237,832,13063,-13413,-5608
251303513,-109,-226,840,13063,-13413,-5608
251311534,-109,-226,840,4970,-18322,-1828
251312067,-119,-194,884,4970,-18322,-1828
251320088,-119,-194,884,-1251,-21253,1190
251320621,-142,-155,925,-1251,-21253,1190
251328642,-163,-122,959,-4156,-22330,3325
251337186,-174,-70,983,-5460,-21385,4497
251345730,-185,-20,970,-7183,-19643,3710
251354276,-180,-15,932,-6807,-18576,2266
251362820,-154,-31,887,-2817,-18086,1697
251371364,-139,-17,867,2703,-18672,2126
251379908,-144,12,869,7087,-20046,1225
251388452,-128,1,878,11523,-20606,-752
251389511,-128,1,878,11523,-20606,-752
251396796,-128,1,878,15837,-20763,-2380
251397329,-96,-12,880,15837,-20763,-2380
251405350,-96,-12,880,19075,-21770,-3526
251405883,-74,-21,888,19075,-21770,-3526
251413903,-74,-21,888,21315,-23572,-4305
251414436,-73,-28,901,21315,-23572,-4305
251422457,-73,-28,901,23135,-25541,-5250
251422990,-78,-33,940,23135,-25541,-5250
251431009,-78,-33,940,24902,-26328,-5976
251431542,-81,-35,985,24902,-26328,-5976
251439563,-93,-35,1025,27308,-25838,-6378
251448108,-99,-48,1046,30765,-23660,-6466
251456652,-100,-55,1055,35122,-20440,-5836
251465196,-102,-48,1053,37703,-16782,-5118
251473740,-96,-47,1030,37992,-13510,-4926
251482284,-80,-51,997,36531,-11698,-4725
251490413,-80,-51,997,36531,-11698,-4725
251490836,-70,-63,971,33652,-11725,-4173
251499381,-66,-64,969,30152,-13282,-3307
251507717,-66,-64,969,25217,-15076,-3176
