# IKS4A1 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
145973980,-95,-147,843,-57881,18086,39742
145982000,-95,-147,843,-67313,1750,58362
145982533,-155,-375,872,-67313,1750,58362
145990552,-155,-375,872,-48466,-16616,78190
145991085,-208,23,747,-48466,-16616,78190
145999105,-208,23,747,3018,-36347,73360
145999638,-99,-36,805,3018,-36347,73360
146007657,3,88,1169,16660,-61381,70253
146016201,21,223,1361,1050,-78741,62842
146024745,34,270,1412,-12372,-83133,51791
146033288,33,258,1478,-17036,-76807,41300
146041832,30,248,1480,-22015,-64137,33827
146046426,30,248,1480,-22015,-64137,33827
146050175,30,248,1480,-31570,-49236,28070
146050709,0,229,1439,-31570,-49236,28070
146058728,0,229,1439,-44905,-34265,24508
146059261,-26,166,1349,-44905,-34265,24508
146067280,-26,166,1349,-57190,-21778,26985
146067813,-18,113,1237,-57190,-21778,26985
146075832,-18,113,1237,-62798,-13851,30563
146076365,-22,140,1168,-62798,-13851,30563
146084383,-12,170,1163,-66281,-6816,31202
146092927,14,168,1150,-71058,656,31377
146101471,8,162,1148,-71741,8758,32655
146110015,-21,166,1127,-65826,19512,33215
146118558,-58,163,1115,-57820,33871,32777
146127102,-132,197,1049,-47801,45360,24666
146135645,-112,6,1091,-31071,48326,15128
146143982,-112,6,1091,-21831,54661,23896
146144515,-35,-50,1079,-21831,54661,23896
146147544,-35,-50,1079,-21831,54661,23896
146152541,-35,-50,1079,-7463,52762,38272
146153074,-30,-115,1056,-7463,52762,38272
146161093,-30,-115,1056,-5372,48755,47661
146161626,-126,89,1181,-5372,48755,47661
146169646,-244,316,1041,-24500,43058,38937
146178189,-135,-60,1123,-39838,33118,32331
146186732,-64,-291,1085,-26810,51047,50303
146195276,49,-114,989,-25637,63393,49735
146203820,-186,-185,607,-35665,83807,47250
146212365,-370,-244,254,-18480,80447,44292
146220700,-370,-244,254,19766,58196,28621
146221233,-158,-94,362,19766,58196,28621
146229252,-158,-94,362,39217,34011,20072
146229785,-3,-168,518,39217,34011,20072
146237806,-3,-168,518,30213,12495,33241
146238339,44,-125,733,30213,12495,33241
146246359,44,-125,733,-2301,-1767,50032
146246892,-49,-114,953,-2301,-1767,50032
146248468,-49,-114,953,-2301,-1767,50032
146254920,-173,-157,1093,-33092,-8540,60480
146263463,-254,-108,1147,-43872,-8671,61250
146272007,-302,246,411,-8811,-12678,45290
146280551,-255,-131,1085,22032,-24071,29758
146289095,-250,176,450,17605,-34755,34090
146297639,-352,123,309,31788,-78662,23660
146305975,-352,123,309,15618,-116978,26398
146306508,-200,117,494,15618,-116978,26398
146314528,-200,117,494,-20343,-141925,32847
146315061,-52,56,609,-20343,-141925,32847
146323081,-52,56,609,-35586,-158480,36916
146323614,-56,-34,714,-35586,-158480,36916
146331634,-56,-34,714,-27413,-160632,38438
146332167,-96,-137,895,-27413,-160632,38438
146340187,-106,-225,1075,-7752,-153912,33600
146348731,52,-455,1422,10123,-134242,37528
146357276,79,-382,1545,22837,-91752,60033
146365820,38,-199,1565,19888,-53235,65108
146374363,-4,-79,1519,-1828,-16905,54731
146382698,-4,-79,1519,-35245,14087,43697
146383231,-19,-3,1351,-35245,14087,43697
146391252,-19,-3,1351,-58730,35726,37213
146391785,-69,11,1098,-58730,35726,37213
146399806,-69,11,1098,-57566,45718,32296
146400339,-190,24,734,-57566,45718,32296
146408360,-190,24,734,-31928,39436,23940
146408893,-264,40,409,-31928,39436,23940
146416914,-287,36,259,9458,21568,13186
146425457,-304,-15,307,51852,-3736,1680
146434001,-244,-99,503,85408,-30878,-5153
146442543,-169,-186,805,104002,-53235,-4733
146450463,-169,-186,805,104002,-53235,-4733
